AreaName,WVitemID,ImageURL,ScreenSizeID,SortOrder,ScreenSizeName,Width,Height,ImageText
Algarvekysten,108022,http://images2.spies.dk/images/Area/108022_1001_1_24.jpg                              ,24,1,Area x-small,136,77,
Algarvekysten,108022,http://images2.spies.dk/images/Area/108022_1001SE_10_49.jpg                           ,49,10,Area top wide,975,350,
Algarvekysten,108022,http://images2.spies.dk/images/Area/108022_1001g_10_49.jpg                            ,49,10,Area top wide,975,350,
Algarvekysten,108022,http://images2.spies.dk/images/Area/108022_1001_10_49.jpg                             ,49,10,Area top wide,975,350,
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1001_7_24.jpg                              ,24,1,Area x-small,136,77,
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1001_10_49.jpg                             ,49,1,Area top wide,975,350,Positano
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1002_2_109.jpg                             ,109,2,Area fullscreen lying,1280,853,Positano
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1003_2_109.jpg                             ,109,3,Area fullscreen lying,1280,853,"Capri, Marina Grande"
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1004_2_109.jpg                             ,109,4,Area fullscreen lying,1280,853,Sorrento
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1005_2_109.jpg                             ,109,5,Area fullscreen lying,1280,853,Positano
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1006_2_109.jpg                             ,109,6,Area fullscreen lying,1280,853,Positano
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1007_2_109.jpg                             ,109,7,Area fullscreen lying,1280,853,"Capri, Marina Piccola"
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1008_2_109.jpg                             ,109,8,Area fullscreen lying,1280,853,Sorrento
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1010_2_109.jpg                             ,109,10,Area fullscreen lying,1280,853,"Spiaggia del Fornillo, Positano"
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1011_2_109.jpg                             ,109,11,Area fullscreen lying,1280,853,Capri
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1012_2_109.jpg                             ,109,12,Area fullscreen lying,1280,853,Sorrento
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1014_2_109.jpg                             ,109,14,Area fullscreen lying,1280,853,Capri
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1009_2_111.jpg                             ,111,9,Area fullscreen standing,631,960,Sorrento
Amalfikysten,108027,http://images2.spies.dk/images/Area/108027_1013_2_111.jpg                             ,111,13,Area fullscreen standing,631,960,Sorrento
