AreaName,WVitemID,TextTypeID,TextType,SortOrder,Text
Algarvekysten,108022,16,Area description,0,"Velkommen til Algarvekystens dejlige strande, rige historie og Europas måske bedste golfbaner med en sæson, der strækker sig over næsten hele året. Spies har hoteller på tre populære rejsemål: Vilamoura, Albufeira og Praia da Rocha. Og du bestemmer selvfølgelig selv, hvornår du vil rejse, og hvor længe du vil være væk."
Amalfikysten,108027,16,Area description,0,"Rejs med Spies til Amalfikysten, en af verdens smukkeste kyststrækninger med et væld af storslåede udsigter. Her ligger små, romantiske byer som <a href=""{res:15347}"">Positano</a>, Praiano og Amalfi, der alle har sit eget særpræg. På den modsatte side af den sorrentinske halvø finder du <a href=""{res:15349}"">Sorrento</a> - en klassisk ferieby med betagende udsigt over Napolibugten. Lige ud for kysten ligger også den eksklusive ferieø <a href=""{res:15341}"">Capri</a>, som du nemt kommer til med færge."
Antalya-området,123537,16,Area description,0,"Velkommen til Antalya-området! Med Spies kan du vælge mellem hele seks forskellige rejsemål – fra farverige Alanya til fredelige Kemer. For voksne, som rejser uden børn, har vi fire Sunprime Hotels, og rejser du med familien, kan vi tilbyde et dejligt Sunwing Family Resort, tre Family Garden-hoteller og tre SunConnect Resorts, som er familiehoteller, hvor du både kan slappe af og være gratis online i ferien. Nu kan du også rejse hertil med rutefly - så bestemmer du selv, hvornår du vil rejse, og hvor længe du vil være væk."
Antalya-området,123537,16,Area description,10,"Vores golfrejser går til Belek, og her kan du vælge mellem 4- eller 5-dages golfpakker på to forskellige anlæg. Vi tilbyder også flere hoteller med egne baner, hvor du som gæst spiller til meget favorable priser. Flere af hotellerne ligger lige ved stranden, så du nemt kan slappe af mellem golfrunderne."
Bali,108032,16,Area description,0,"Hos Spies finder du alt fra enkle hoteller til luksuriøse resorts direkte ved stranden. Desuden rejser du med rutefly, så du selv kan bestemme, hvornår du vil rejse, og hvor længe du vil være væk. Et godt tip er at rejse dertil om sommeren - Bali er betagende året rundt, men der er allerdejligst om sommeren."
Bali,108032,13,Text part,10,"Når du rejser med Spies til Bali, kan du vælge mellem flere forskellige spændende rejsemål. <a href=""{res:14961}"">Ubud</a> er Balis kulturelle centrum med traditionel kunst og traditionelle ceremonier. Her bor du midt i naturen på fine hoteller med lækre spafaciliteter. De bedste strande finder du på syd- og vestkysten. Vil du se fantastiske solnedgange, skal du gå efter <a href=""{res:14958}"">Kuta Beach</a>. Er du mere til solopgange, kan du med fordel vælge at bo i <a href=""{res:14960}"">Sanur</a> eller <a href=""{res:14959}"">Nusa Dua</a>. På den nordlige del af øen venter <a href=""{res:28339}"">Candidasa</a> og <a href=""{res:28341}"">Lovina Beach</a>, som begge er fredfyldte små byer, hvor det snarere er atmosfæren end strandene, der lokker. Du kan selvfølgelig også kombinere vores rejsemål, så du får en ferie, der passer lige præcis dig."
Bodrum-halvøen,123538,16,Area description,0,"Bodrum-halvøen har været et populært feriemål i mange år, og med Spies kan du vælge imellem fire rejsemål med hver sit særpræg. Vi tilbyder bl.a. familiehoteller som <a href=""{hot:63664}"">Bodrum Holiday Resort & Spa</a> med Lollo & Bernie uden for Bodrum, og på flere af vores rejsemål kan du bo direkte på stranden eller vælge et hotel med All Inclusive."
Borneo,108042,16,Area description,0,"Magisk og mytisk med frodige regnskove, et fantastiskt dyreliv og lange kridhvide strande. Borneo - verdens tredjestørste ø er en oplevelse ud over det sædvanlige. Øen byder ikke bare på klassisk sol- og badeferie - her venter også mange spændende udflugtsmål, bl.a. orangutangcentret Sepilok, skildpaddeøen Selingan Island, det svimlende smukke bjerg Mount Kinabalu og koraløer, der byder på verdens måske bedste dykning! Med Spies har du alle muligheder på Borneo."
Brac,193738,16,Area description,0,"Brac er Kroatiens tredjestørste ø og byder på såvel vingårde og strande som maleriske små byer og frodig natur. Her bor du tæt på både naturen og havet, og du har aldrig langt til en hyggelig restaurant eller en god vandresti. Ligesom i resten af Kroatien er vandet krystalklart, og eftersom Brac er omgivet af strande, er her masser af muligheder for et forfriskende dyp. Når du rejser med Spies til Brac, bor du på øens nordkyst i byen Supetar, som også et godt udgangspunkt for at udforske fastlandet. Færgerne sejler flere gange om dagen, så du kommer nemt til Split, hvor du bl.a. kan besøge det gamle kejserpalads. Eftersom den sidste færge til Brac først sejler ved midnatstid, har du god tid til både shopping, sightseeing og en god middag i Split."
Californien & The West,108144,16,Area description,0,"Du oplever USA fra sin mest spændende side, når du rejser til Californien. USA's vestkyst rummer nemlig ikke bare ikoniske byer som San Francisco og Los Angeles med Hollywood, Disneyland og Beverly Hills. Californien er samtidig det perfekte udgangspunkt for oplevelsesrige bilferier i det vestlige USA, der både rummer de store nationalparker og spillebyen Las Vegas. Afslut med nogle dage i Santa Barbara på Californiens riviera - kun 20 minutters kørsel fra den danske koloni, Solvang.<br><br>Med Spies Special har du alle muligheder for at skræddersy den perfekte rejse til Californien med flybilletter, hoteller og billeje."
Centrale Thailand,108047,16,Area description,0,"Storby eller smukke badestrande? Centrale Thailand er et fantastiskt alternativ for dig, der ikke vil vælge. Spies har mange kombinationsmuligheder, så du får både eventyr og afslapning på samme ferie."
Centrale Thailand,108047,13,Text part,10,"Bangkok er en af Asiens mest kaotiske og fascinerende storbyer med et hav af seværdigheder, myldrende markeder og gigantiske shoppingcentre. Kun nogle få timers kørsel derfra finder du badebyerne <a href=""{res:4707}"">Cha-Am</a> og <a href=""{res:4718}"">Hua Hin</a>. Denne del af Thailand byder på oplevelser for enhver smag."
Centrale Thailand,108047,16,Area description,20,"Centrale Thailand er et godt valg for dig, der gerne vil spille golf og samtidig ikke vil så langt væk fra Bangkok, en af Asiens mest kaotiske og fascinerende storbyer. Når du tager med Spies på en golfrejse til Centrale Thailand, kan du vælge mellem Hua Hin og Cha-am. På begge rejsemål kan du spille på fire rigtig gode golfbaner."
Costa Blanca,108051,16,Area description,0,"Costa Blanca, den hvide kyst, har noget for alle - uanset om du vil have sol og strand, folkeliv, shopping eller oplevelser. Costa Blanca strækker sig over 200 km, fra Denia til Pilar de la Horadada, og langs kysten ligger der mange populære rejsemål. Når du rejser med Spies, kan du vælge mellem tre af dem: Alicante, Benidorm og Albir, og eftersom du rejser med rutefly, kan du selv bestemme, hvor længe du vil være væk."
Costa Blanca,108051,13,Text part,10,"I Alicante får du den perfekte kombination af storby og strande; Benidorm er førstevalget for dig, som vil have folkeliv og forlystelser, og Albir passer til dig, der har fokus på afslapning. Fælles for alle vores rejsemål er, at du kan være sikker på en ferie med en betagende natur, en venlig befolkning og et klima, som hvert år tiltrækker tusindvis af nordboere."
