AreaName,WVitemID,CAitemID,Latitude,Longitude,ExtentLatMin,ExtentLongMin,ExtentLatMax,ExtentLongMax
Algarvekysten,108022,14984,37.016929,-7.928946,36.85325222,-9.140625,37.33522436,-7.108154297
Amalfikysten,108027,59195,40.63223,14.6018515,40.3674737,13.7878418,41.0164,15.0907
Antalya-området,123537,33119,36.888806,30.8276367,36.4389612,30.2453613,37.0727105,32.6953125
Bali,108032,14989,-8.494104538,115.1367188,-8.906780008,114.3676758,-7.787193659,115.8618164
Bodrum-halvøen,123538,32332,37.0305139,27.4479675,36.9811636,27.25914,37.0962646,27.4822998
Borneo,108042,14988,5.97367,116.0699326,-5.790896813,108.1054688,9.188870084,121.0253906
Brac,193738,96402,43.58039086,16.34765625,43.00464713,15.29296875,44.27667127,17.35839844
Burgas-området,124891,82611,42.488302,27.4658203,41.5414777,27.3779297,42.9725016,28.125
Californien & The West,108144,15236,34.052234,-118.2436846,30.3734,-123.64,41.1711,-112.965
Centrale Thailand,108047,15237,9.495904,100.0048995,5.73733,98.339,15.178,105.562
Costa Blanca,108051,74796,39.0083537,-0.9555968,37.62966842,-1.464696412,40.02041567,-0.142046831
Costa Brava,195366,98230,39.84228607,-0.263671875,32.84267361,-11.25,44.08758507,4.921875
Costa del Sol,108053,6809,36.60383,-4.6697685,36.47506119,-5.091535156,36.75693992,-4.425619385
Costa Dorada,121478,97992,41.087109,1.159357,40.994411,0.931091309,41.29431726,1.444702148
Cypern,108056,99070,34.922674,33.6267635,34.2779,32.1573,35.8267213,34.8266602
Den Franske Riviera,108065,32249,43.702323,7.2682565,42.8289,6.13648,43.7611,7.50808
Det østlige USA,108059,19655,40.714194,-74.0059996,31.3801,-85.7831,47.2182,-65.5594
Dubai,109605,26195,25.20369861,55.26809692,24.9566073,54.9382893,25.30802828,55.44937134
Dubrovnik-området,186731,80349,42.638,18.1082153,42.4883019,17.6879883,42.8759644,18.6108403
Florida,108063,15232,28.538336,-81.3792356,24.3931,-86.5214,30.5693,-78.848
Fuerteventura,108066,4805,28.40831259,-13.90594482,28.01380138,-14.56787109,28.76284381,-13.67797852
Goa,109233,34975,15.2623061,73.9206009,14.9701381,73.4303394,15.6419076,74.2653004
Gran Canaria,108069,8775,27.958999,-15.60117,27.728223,-15.98276,28.181484,-15.199476
Hawaii,108071,64752,20.32,-157.74,18.77111506,-160.4003906,22.3297523,-154.7314453
Hvar,186730,81566,43.16111585,16.52893069,42.9242518,15.7983398,43.60426189,17.78686526
Ibiza,108072,68976,38.907392,1.4218485,38.876,1.387,38.922,1.483
Istanbul,123536,33120,41.01306579,28.93798828,39.48708498,27.66357422,41.88592103,30.47607422
Istrien,123597,80353,45.0036511,13.9086914,44.4573098,13.0627442,45.4755403,14.8535156
Kalymnos,108078,15312,36.987368,26.984026,36.915281,26.859077,37.088479,27.192002
Koh Lanta,121774,16008,7.580327791,99.06921387,7.44281571,98.95935059,7.725960993,99.17221069
Koh Phi Phi,121312,16181,7.7246002,98.7677765,7.6953413,98.7272644,7.7817511,98.8117218
Korfu,108080,84869,39.673894,19.798019,39.351085,19.423362,39.833522,20.369438
Kos,108081,33901,36.812982,27.112207,36.667026,26.911128,36.919567,27.397588
Krabi,108082,4742,8.030214,98.929342,7.838894278,98.8659668,8.110895983,99.02526855
Kreta,108055,6757,35.212033,24.894115,34.371964,23.442439,35.921188,26.390706
Krydstogter fra Dubai,189622,84389,25.12539261,55.30517578,24.88643649,54.89868164,25.42343143,55.64575195
Krydstogter i Det Indiske Ocean,193413,90105,-0.703107352,62.578125,-37.71859033,33.75,35.46066995,118.125
Krydstogter i Middelhavet,138096,64761,35.3173663,16.875,30.1451272,-8.6132813,45.8287993,40.4296875
La Gomera,108085,4823,28.125913,-17.234293,27.934969,-17.567806,28.32882,-16.884358
Lesbos,108090,6771,39.195392,26.269396,38.9481,25.819401,39.403412,26.690996
Lissabon-området,108092,15357,38.744308,-9.1358465,38.732,-9.169,38.778,-9.073
Madeira,108095,6803,32.6427,-16.9222,32.1597,-17.84,33.1763,-15.9695
Makarska Riviera,186729,81570,43.45291883,16.76513668,41.9676592,13.5351563,45.3675844,20.1269531
Mallorca,108099,6813,39.682143,3.011434,39.2450167,2.3071289,39.9939557,3.5925293
Malta,139600,60511,35.87682795,14.44150684,35.88052357,14.43860987,35.96570035,14.64248741
Marmaris-området,125963,40390,36.8489,28.258646,36.7916906,28.2149506,36.8746772,28.2815552
Nordlige Thailand,108111,15238,13.7502,100.516,11.37,98.5141,20.2578,103.22
Phuket,108117,4762,7.919026,98.33878,7.689217128,98.11065674,8.209327,98.752788
Rhodos,108122,6774,36.181024,27.957693,35.864048,27.363571,36.466998,28.603729
Santorini,108125,83350,36.411883,25.4450285,36.3459,25.2724,36.4539,25.5526
Sardinien,108126,83330,40.0054,8.9884001,38.6062,7.69957,41.2584,10.6337
Sicilien,108129,65847,38.114686,13.3629545,36.8413,12.2943,38.4562,16.2487
Split-området,186728,80456,43.524655,16.468506,43.0688878,15.402832,43.7393521,17.3364258
Sri Lanka,141710,66280,7.5476556,80.6616211,2.986927393,72.94921875,12.55456353,87.36328125
St. Martin/St. Maarten,182728,83968,17.894456,-62.851548,17.9108438,-63.1663345,18.0331916,-62.7946603
Tenerife,108136,4829,28.29086,-16.558592,27.98470012,-16.96838379,28.66167122,-16.06201172
Thassos,108137,78635,40.7748219,24.7309112,40.469935,24.264679,41.084009,25.1174925
Varna-området,124892,78041,43.19716728,27.94921875,42.81152175,27.70751953,43.83452678,28.54248047
